Category,Price,Rating,Stock,Discount
,2006.0,3.910314086560345,,27.0
A,7013.0,,Out of Stock,47.0
,4089.0,,Out of Stock,34.0
,9491.0,,Out of Stock,25.0
,2256.0,2.417251829216005,,47.0
A,302.0,,In Stock,30.0
A,6586.0,3.970816749781454,Out of Stock,13.0
,3121.0,3.249918034197108,Out of Stock,43.0
,1880.0,4.177729957156087,Out of Stock,33.0
B,6307.0,4.64124087377263,,
C,3051.0,1.0526185086774729,In Stock,41.0
B,8664.0,,,10.0
C,583.0,4.870282660437777,,39.0
,5284.0,4.724694014664168,In Stock,45.0
B,3582.0,,Out of Stock,43.0
,9200.0,3.98414667119676,In Stock,23.0
C,9372.0,2.3077383007026233,Out of Stock,26.0
,6241.0,,In Stock,44.0
D,8713.0,4.836304462671157,Out of Stock,38.0
,4272.0,1.004562586787951,Out of Stock,32.0
,3440.0,1.8049726006239553,In Stock,
,4648.0,4.242985532671364,In Stock,44.0
,340.0,4.88631078743493,Out of Stock,27.0
,882.0,3.0461031724708905,Out of Stock,11.0
,9787.0,4.34902126331784,In Stock,25.0
C,,4.0738973004330585,Out of Stock,
,4752.0,2.8241109135058595,Out of Stock,20.0
,3282.0,,,13.0
,2619.0,2.4243157201674417,,
,9534.0,,,32.0
,5870.0,,Out of Stock,15.0
,1519.0,2.6793881462390496,Out of Stock,32.0
,2422.0,,,28.0
D,3510.0,,Out of Stock,28.0
,699.0,4.375838109543215,In Stock,9.0
,1860.0,2.3263582343568427,In Stock,48.0
,9630.0,,In Stock,21.0
A,6253.0,,In Stock,
D,1533.0,,Out of Stock,
C,7259.0,,Out of Stock,5.0
,8388.0,3.936083684657227,In Stock,49.0
B,2801.0,,In Stock,10.0
A,8976.0,2.67501243407456,In Stock,5.0
,6855.0,,In Stock,
,6487.0,3.275214523174845,Out of Stock,9.0
C,513.0,1.5513087860156212,,18.0
,7743.0,,In Stock,45.0
A,4844.0,2.809743584503583,Out of Stock,
C,8867.0,2.7897544855987046,,25.0
,8794.0,,In Stock,34.0
,7446.0,2.516384460704573,Out of Stock,5.0
,169.0,2.5987982488191426,,49.0
,6130.0,,,12.0
,1151.0,1.8702063409785228,,9.0
,1893.0,2.415329927598564,Out of Stock,33.0
C,7446.0,,In Stock,
,2641.0,4.057688277106663,Out of Stock,5.0
C,8832.0,2.1847522134079282,,45.0
D,7785.0,1.9626804091415333,,2.0
,9041.0,,Out of Stock,42.0
C,358.0,1.5347182176201573,,5.0
,4122.0,1.1712760795081478,Out of Stock,15.0
D,9914.0,4.224213897784791,,33.0
D,7398.0,4.539260482415456,In Stock,45.0
A,5533.0,,In Stock,31.0
C,9942.0,3.0988933485170276,In Stock,41.0
,5889.0,1.0114991780263174,,35.0
C,2065.0,2.773372450506171,,38.0
,3573.0,1.6817810547194112,,8.0
,7249.0,,Out of Stock,40.0
,2863.0,,Out of Stock,20.0
,3149.0,2.4361817420066116,Out of Stock,11.0
D,2597.0,2.693039161149962,In Stock,22.0
C,,2.520140576189981,Out of Stock,48.0
,8502.0,,,16.0
B,4377.0,2.5852738600470944,Out of Stock,23.0
,2188.0,2.075837576258455,In Stock,12.0
,1125.0,,,17.0
,421.0,2.204065103230588,,6.0
,8287.0,4.359452057824416,In Stock,35.0
C,1039.0,2.9446429985805467,Out of Stock,44.0
,4290.0,2.4705680331419355,Out of Stock,0.0
D,4297.0,3.303322214029173,In Stock,5.0
B,2557.0,,In Stock,7.0
,8483.0,1.3534391515177338,,44.0
A,,3.9793373424997918,In Stock,21.0
,3742.0,,Out of Stock,3.0
,8017.0,1.612055886721031,,3.0
D,4910.0,4.989577354865315,In Stock,45.0
,4429.0,,In Stock,8.0
,4192.0,3.1085842671918282,,1.0
C,5687.0,,Out of Stock,7.0
A,9116.0,2.1602775395478866,In Stock,45.0
A,573.0,,In Stock,23.0
A,6107.0,1.1631849577015059,Out of Stock,22.0
,9464.0,,,24.0
,5125.0,,Out of Stock,49.0
,480.0,2.8952137646607716,In Stock,21.0
,3122.0,,In Stock,46.0
D,8873.0,3.248184261640426,In Stock,41.0
C,1189.0,4.957681199304233,Out of Stock,34.0
,9697.0,3.3344502411373655,,11.0
A,3592.0,,,31.0
,1891.0,,,14.0
D,9584.0,2.3382237827678054,,27.0
,3908.0,2.390631587338074,Out of Stock,27.0
,3584.0,,,44.0
D,3996.0,,Out of Stock,25.0
,6618.0,1.8400894326300978,In Stock,48.0
B,5054.0,1.893145253491221,In Stock,5.0
D,8760.0,,In Stock,42.0
B,6166.0,,,47.0
,6557.0,,,9.0
D,9794.0,2.1303393764821474,Out of Stock,14.0
C,7693.0,,In Stock,35.0
A,5896.0,,Out of Stock,41.0
,462.0,1.3310086983050229,In Stock,29.0
,4673.0,4.846201402552422,Out of Stock,0.0
B,5031.0,1.8642170364748045,In Stock,25.0
,8671.0,,In Stock,0.0
,3262.0,,In Stock,8.0
A,2970.0,2.028725181173555,Out of Stock,2.0
,6708.0,3.177204225986467,In Stock,24.0
,9054.0,3.1662922671136755,,26.0
,7272.0,2.366807906153461,,29.0
C,7873.0,3.9918837757784704,Out of Stock,42.0
,5940.0,4.850522226025694,Out of Stock,7.0
,2209.0,2.247698082766073,,3.0
,3151.0,1.9914988458466087,In Stock,8.0
A,6911.0,2.3380039764190346,Out of Stock,11.0
,438.0,,In Stock,21.0
,,,In Stock,19.0
,2761.0,2.2598457742815072,,14.0
,6361.0,3.9575231132643247,,5.0
C,1445.0,,,38.0
,4659.0,3.7933312030367903,In Stock,15.0
,9158.0,,In Stock,25.0
C,9306.0,4.131448623805925,In Stock,18.0
,2807.0,3.217156053822698,Out of Stock,39.0
A,1297.0,,In Stock,36.0
,4847.0,,In Stock,41.0
D,8255.0,4.1873920005148415,In Stock,36.0
D,7894.0,1.3390547189691762,In Stock,
,8209.0,1.9279102224703086,Out of Stock,19.0
,7265.0,1.4200382953644772,In Stock,37.0
B,4930.0,3.321333154322702,Out of Stock,9.0
,,2.867687169548899,Out of Stock,16.0
D,4999.0,,Out of Stock,40.0
,,4.588041206055666,Out of Stock,
,2929.0,2.744012447425937,Out of Stock,46.0
D,4529.0,,,4.0
,3509.0,,In Stock,10.0
,9098.0,2.037458419910098,Out of Stock,6.0
,1567.0,,,37.0
,926.0,,Out of Stock,21.0
,7538.0,2.5299762943234825,,29.0
D,2797.0,2.9547384924336355,In Stock,26.0
,3772.0,,In Stock,44.0
,6302.0,1.8830312789098431,,6.0
,8094.0,1.3780417469694202,Out of Stock,30.0
C,9873.0,,In Stock,19.0
C,9016.0,3.731647190083824,,26.0
B,3621.0,3.269276521310058,In Stock,16.0
C,8629.0,,Out of Stock,45.0
A,7487.0,,Out of Stock,43.0
,877.0,3.959481762698795,,22.0
,7058.0,2.520362722625151,Out of Stock,47.0
A,5055.0,2.782292682062825,,7.0
A,1251.0,,,40.0
D,1294.0,,In Stock,
,3984.0,4.068133889583458,Out of Stock,
,2865.0,3.5559798150302195,,43.0
,7325.0,4.202239554811543,In Stock,22.0
C,4222.0,,In Stock,23.0
,2470.0,1.0373540084530277,In Stock,41.0
,1647.0,4.28422009758718,,27.0
C,4351.0,4.134765173710846,Out of Stock,5.0
,9352.0,,Out of Stock,31.0
D,9356.0,3.333491496319609,In Stock,17.0
,716.0,4.568742635024035,In Stock,17.0
B,5510.0,3.782282474356516,Out of Stock,17.0
C,3203.0,,,0.0
,3455.0,4.403373498419455,,38.0
,3416.0,3.7276365167238352,Out of Stock,10.0
,1558.0,,In Stock,28.0
D,177.0,,In Stock,31.0
B,8493.0,3.79811778636372,Out of Stock,3.0
,6706.0,3.550703656561946,,11.0
,823.0,3.3082163849057666,In Stock,
D,9753.0,1.9590636471429348,Out of Stock,8.0
,7635.0,,In Stock,12.0
A,3424.0,4.690404920523761,Out of Stock,
,8221.0,4.772532426367965,,36.0
,5135.0,,,35.0
A,9272.0,2.459474979375605,,37.0
,8406.0,1.291421110640338,Out of Stock,11.0
C,6357.0,2.131057287913904,In Stock,5.0
B,3626.0,,Out of Stock,0.0
A,9516.0,,In Stock,
,1506.0,,,34.0
C,7605.0,3.0350170529880938,In Stock,8.0
,6609.0,,,
B,8569.0,4.300744483993222,In Stock,42.0
,3804.0,2.1275455373366867,In Stock,21.0
C,1628.0,,In Stock,0.0
,8319.0,2.0659929989789036,In Stock,
B,5557.0,2.917713789824017,Out of Stock,14.0
B,8722.0,3.39118847782968,In Stock,26.0
,2642.0,3.6849243919106263,Out of Stock,49.0
,913.0,1.3328083803647814,In Stock,15.0
,3103.0,2.8393745370302623,In Stock,20.0
C,8687.0,2.609026341804329,In Stock,19.0
,5699.0,3.194113460837644,Out of Stock,
C,9686.0,4.713512141561969,,27.0
,1557.0,1.6358672129989373,In Stock,23.0
,5236.0,2.290243723224427,,10.0
,8598.0,,,47.0
D,7621.0,,Out of Stock,30.0
,3130.0,3.0764474681246607,,16.0
,3086.0,,Out of Stock,2.0
C,1051.0,2.984321747954581,In Stock,10.0
,5887.0,2.1570579518680604,In Stock,48.0
,1320.0,2.358778012130161,,12.0
,7446.0,1.5305683312352762,Out of Stock,31.0
,505.0,,Out of Stock,30.0
,5334.0,,Out of Stock,14.0
,3389.0,1.9419005472873465,Out of Stock,2.0
,5945.0,3.554980560722151,Out of Stock,23.0
,1142.0,2.259947259430098,Out of Stock,16.0
,4138.0,3.4588528463638504,,
,3526.0,2.1822724527784705,Out of Stock,18.0
,2604.0,,Out of Stock,
,9502.0,4.058366709120592,In Stock,4.0
,3542.0,2.2705559802796342,Out of Stock,36.0
,8987.0,4.580981929533248,Out of Stock,32.0
,,3.994311876355714,,10.0
A,9933.0,,,15.0
,9887.0,1.7213441092095616,,12.0
,6994.0,3.82123986011341,Out of Stock,11.0
,7477.0,3.630518223213571,In Stock,25.0
,9198.0,4.495473933961361,Out of Stock,40.0
A,3125.0,,,18.0
,4070.0,,,46.0
,2190.0,,,10.0
,7550.0,,,
,2023.0,4.904290374324477,,31.0
,1415.0,2.3817523332258093,Out of Stock,42.0
B,8444.0,2.7738985967049112,,41.0
,6169.0,2.703924170771108,Out of Stock,38.0
,3540.0,,Out of Stock,15.0
,8313.0,2.7186970795339924,In Stock,16.0
,2695.0,3.778066899255494,Out of Stock,5.0
C,9809.0,2.143746643611081,,8.0
,7046.0,1.7140775121820453,In Stock,5.0
,6235.0,2.102911271314409,Out of Stock,
,7534.0,4.414725463391546,,
,,1.003102892580014,Out of Stock,21.0
,4863.0,,Out of Stock,
A,5271.0,,In Stock,45.0
,947.0,,,5.0
,5946.0,3.6604478943981777,Out of Stock,
,9257.0,,,
,,4.554561616302786,In Stock,35.0
,7479.0,,Out of Stock,15.0
,6205.0,3.6443532284858016,,29.0
A,1682.0,,In Stock,45.0
,918.0,1.7160065833351572,Out of Stock,34.0
,2863.0,2.3082694158470334,In Stock,44.0
,9692.0,,In Stock,26.0
,4917.0,,Out of Stock,21.0
,8537.0,2.9558395704123526,,10.0
D,5144.0,3.9927999571261132,Out of Stock,27.0
,2806.0,1.0746418845474635,Out of Stock,30.0
,9585.0,4.723567028801993,In Stock,24.0
,564.0,,,49.0
,1036.0,1.3912647972450225,In Stock,39.0
,7268.0,4.137400068629105,In Stock,35.0
,2122.0,1.070220143254514,,
C,2261.0,1.1541372750420207,Out of Stock,11.0
B,722.0,,,19.0
,1022.0,,,1.0
,5237.0,4.854664208038117,,49.0
,3549.0,3.2188060106962357,In Stock,1.0
,9115.0,1.0057146792290896,,
C,6676.0,3.5448237698474534,,
,6530.0,,In Stock,26.0
,,2.028452657691365,In Stock,37.0
,6438.0,1.607100153379533,,39.0
,3471.0,2.167357133037513,Out of Stock,5.0
A,3231.0,2.6480717482909797,Out of Stock,8.0
,5674.0,,,
C,1260.0,3.6288100709234485,Out of Stock,43.0
,249.0,3.0904142077624566,In Stock,26.0
,8170.0,4.028107377373907,Out of Stock,35.0
,3432.0,1.3927640802714794,,45.0
A,2720.0,3.068155231448395,In Stock,23.0
,8925.0,1.0070123171523289,Out of Stock,20.0
C,1250.0,2.805398279237349,Out of Stock,20.0
,1903.0,,Out of Stock,46.0
D,7139.0,,,43.0
C,8596.0,4.573302123190464,Out of Stock,35.0
C,6564.0,2.3503275400139074,In Stock,49.0
,2905.0,,Out of Stock,27.0
B,6381.0,4.1717808137240535,Out of Stock,31.0
,4347.0,,Out of Stock,41.0
,291.0,3.9615437214303677,,39.0
,562.0,1.6441076247423672,,3.0
,614.0,,Out of Stock,13.0
B,,,,
,9617.0,,Out of Stock,
D,5341.0,,,
,2997.0,2.94105536708034,Out of Stock,
,1665.0,4.860212846144496,,34.0
,2577.0,,Out of Stock,49.0
A,5778.0,,In Stock,20.0
,9697.0,3.660483930330342,In Stock,40.0
,,2.768843803112533,Out of Stock,45.0
,1481.0,1.1997764566550995,,26.0
,4870.0,,Out of Stock,2.0
,7087.0,4.2858110240525695,In Stock,35.0
C,3650.0,,In Stock,37.0
,3024.0,,In Stock,16.0
,328.0,,Out of Stock,41.0
,1538.0,,,41.0
A,5721.0,3.5787098926367222,,40.0
,9329.0,,In Stock,48.0
,3568.0,4.1094718195275295,Out of Stock,11.0
,7252.0,,Out of Stock,36.0
C,9119.0,2.5889490467889904,In Stock,10.0
D,8081.0,3.646534010385045,In Stock,12.0
,,3.701078772654003,In Stock,30.0
,381.0,,Out of Stock,21.0
,1249.0,2.5597631179162104,In Stock,49.0
B,6446.0,3.54179016457523,Out of Stock,
C,8709.0,,,19.0
,5539.0,1.8096055711712258,Out of Stock,17.0
C,7288.0,2.0449345165071753,,15.0
D,6778.0,,In Stock,41.0
,7675.0,,Out of Stock,1.0
,9236.0,,Out of Stock,15.0
,2705.0,4.527438671193559,In Stock,7.0
D,4246.0,,Out of Stock,34.0
,2228.0,3.189855923072394,In Stock,23.0
,7314.0,4.620648664731213,,30.0
D,8737.0,4.095370531645545,,41.0
,3536.0,,In Stock,13.0
,5272.0,,,25.0
,5113.0,,Out of Stock,17.0
,2735.0,2.9208322860101292,,26.0
,2432.0,,Out of Stock,16.0
,,1.6337096334325758,In Stock,46.0
,5736.0,,,14.0
,3241.0,4.859328885943068,,7.0
D,434.0,,Out of Stock,6.0
B,9715.0,4.556296310407639,,1.0
,2666.0,2.9816969896955987,In Stock,28.0
C,3215.0,2.376312443809915,In Stock,
C,736.0,,In Stock,12.0
,4650.0,1.1705236652662325,Out of Stock,11.0
C,4392.0,2.7290709788571568,,13.0
,535.0,,,9.0
,703.0,1.3294513702033006,Out of Stock,4.0
,620.0,,Out of Stock,33.0
D,4290.0,,,13.0
A,8171.0,2.0590800553746935,Out of Stock,14.0
,1305.0,,In Stock,38.0
,1078.0,4.705406943730678,,23.0
,6285.0,2.6079269196478303,In Stock,27.0
,6551.0,4.246589691739439,In Stock,5.0
C,9566.0,,Out of Stock,1.0
C,,,Out of Stock,
,9442.0,2.6907269838631973,In Stock,39.0
A,1521.0,,In Stock,29.0
,1704.0,2.8535947570034668,In Stock,6.0
,158.0,,Out of Stock,12.0
,231.0,1.4444003053710293,In Stock,38.0
D,8041.0,4.2507262683713325,In Stock,5.0
A,420.0,2.6638460181672,,1.0
C,7645.0,,,25.0
D,5297.0,3.933676945392267,In Stock,5.0
,4636.0,,,8.0
C,7341.0,,,21.0
B,1971.0,,,1.0
,4945.0,2.2364507255067942,Out of Stock,7.0
B,3412.0,,Out of Stock,24.0
B,2940.0,2.809246903821382,,47.0
,,4.535290669853159,,31.0
,3280.0,,Out of Stock,29.0
,409.0,,Out of Stock,16.0
B,8690.0,,Out of Stock,1.0
,9287.0,4.696252556756083,,2.0
,3590.0,4.099343053973303,Out of Stock,
D,7644.0,,Out of Stock,
,2428.0,,Out of Stock,47.0
A,5310.0,3.6491763940230895,Out of Stock,1.0
,2699.0,4.340577472041069,Out of Stock,40.0
,3341.0,4.841266708508417,,44.0
,7173.0,1.9388835875204125,,13.0
B,7293.0,1.9581009208137075,In Stock,29.0
,4004.0,,Out of Stock,31.0
,6722.0,2.419346271313845,In Stock,8.0
,1328.0,2.909360250537106,,27.0
B,8583.0,,In Stock,31.0
B,4461.0,,In Stock,39.0
D,4888.0,,In Stock,2.0
,9374.0,3.0028560954050536,,28.0
,8339.0,3.9183052680501245,In Stock,41.0
,7640.0,,,0.0
,1700.0,1.3836135052314509,In Stock,13.0
,680.0,,In Stock,18.0
,2541.0,3.6322047482644972,,37.0
,6322.0,,Out of Stock,
B,6924.0,4.068935004804429,In Stock,
B,1103.0,,,47.0
C,9686.0,1.7999740116247285,Out of Stock,19.0
,8669.0,4.641905701662897,Out of Stock,12.0
,4097.0,,Out of Stock,34.0
,8281.0,,,12.0
,1832.0,,In Stock,28.0
B,3741.0,,,47.0
,7054.0,,Out of Stock,49.0
,6355.0,2.7646612809993303,Out of Stock,0.0
A,1511.0,2.9675683423004284,Out of Stock,7.0
,1545.0,2.1415727497729122,In Stock,29.0
D,828.0,2.153464497259371,Out of Stock,8.0
D,6483.0,,,33.0
,3704.0,2.936554309967718,In Stock,1.0
B,3650.0,1.4553014488397467,,34.0
,6354.0,2.872548993774975,In Stock,46.0
,3093.0,1.103927782244961,,42.0
D,8585.0,,,43.0
C,9832.0,4.967090649554048,Out of Stock,2.0
A,3726.0,,In Stock,26.0
,7030.0,,Out of Stock,19.0
,5769.0,,Out of Stock,18.0
,2883.0,2.755392182553186,Out of Stock,35.0
,3736.0,1.0274014575018144,,26.0
,7702.0,1.1597475792875311,Out of Stock,21.0
,4437.0,,In Stock,8.0
C,6987.0,,,
,7648.0,,In Stock,45.0
,1670.0,,,13.0
B,5335.0,,Out of Stock,12.0
A,6117.0,,In Stock,26.0
B,1695.0,3.1372169357305038,In Stock,7.0
B,4769.0,3.199256476549933,,41.0
,8325.0,3.7499952445002265,,6.0
,1804.0,,In Stock,7.0
,9951.0,,In Stock,26.0
,4828.0,,In Stock,22.0
,1698.0,3.0891231681012314,In Stock,11.0
C,2571.0,1.2425196422667808,In Stock,22.0
,3691.0,4.799496226122256,,37.0
,,,Out of Stock,23.0
D,6967.0,2.9294789139842865,In Stock,39.0
,9148.0,,,46.0
A,3701.0,,In Stock,12.0
,6867.0,,,3.0
C,2610.0,2.7912042416852207,,10.0
,7606.0,3.6542273863931314,In Stock,
,3135.0,4.594448915399168,,28.0
D,5597.0,3.116135383834756,In Stock,27.0
,1839.0,4.274956660699364,Out of Stock,16.0
D,4763.0,3.972744227384923,,42.0
,4219.0,,In Stock,37.0
,5608.0,4.157697336735428,Out of Stock,6.0
B,5195.0,3.6893272930298915,,3.0
C,2540.0,,In Stock,40.0
,6716.0,1.7903990305576372,In Stock,7.0
B,3722.0,,Out of Stock,37.0
,8682.0,1.1906363377840607,,47.0
C,2647.0,,In Stock,
A,4104.0,,Out of Stock,39.0
C,6952.0,4.511057655143444,,4.0
,9928.0,,In Stock,49.0
,5712.0,2.7472448051646716,Out of Stock,45.0
,251.0,1.0331563051446873,Out of Stock,44.0
,3611.0,1.915730729536624,,36.0
,3295.0,1.5374126752191493,,11.0
,889.0,,Out of Stock,45.0
C,1972.0,2.2472597886538628,In Stock,10.0
,5429.0,4.958336197386105,In Stock,2.0
,4415.0,1.4463942073567808,Out of Stock,45.0
,6889.0,,,13.0
,,,Out of Stock,16.0
D,2507.0,,Out of Stock,45.0
,8945.0,4.670162360548385,Out of Stock,11.0
,6533.0,1.3923237307536795,In Stock,32.0
,4318.0,2.130970062385172,Out of Stock,
,2173.0,,Out of Stock,24.0
,2996.0,3.3973758435143004,,49.0
D,521.0,1.109541284390204,Out of Stock,30.0
C,4158.0,3.2560110783637324,,7.0
,7314.0,,,41.0
,3430.0,,Out of Stock,27.0
,,2.284835920474739,In Stock,28.0
,5556.0,,In Stock,1.0
C,7425.0,2.3263206410049206,,22.0
,6689.0,1.0155582851684466,In Stock,20.0
,5132.0,,Out of Stock,43.0
,5475.0,,Out of Stock,13.0
,,,Out of Stock,6.0
D,8273.0,4.152618603391821,,7.0
,5565.0,,,47.0
B,4071.0,4.201654638984054,,32.0
,2269.0,,,31.0
,7671.0,2.062739331688438,,
B,3472.0,,Out of Stock,41.0
,3430.0,,In Stock,27.0
,3668.0,,,20.0
,,,In Stock,11.0
,8460.0,,In Stock,18.0
,296.0,,In Stock,11.0
,3145.0,1.8483072960896174,In Stock,15.0
A,3545.0,,,18.0
,3688.0,,In Stock,7.0
A,7243.0,,Out of Stock,7.0
A,5124.0,1.1143787592663257,In Stock,
,4924.0,4.904717380704733,Out of Stock,13.0
,9157.0,,,49.0
,1135.0,,In Stock,42.0
,4267.0,,,19.0
D,5969.0,,Out of Stock,17.0
D,6161.0,,,39.0
,7874.0,3.0073232701661863,Out of Stock,34.0
,317.0,,Out of Stock,27.0
,1557.0,3.8607713507355035,,15.0
,571.0,3.0301432776077357,,37.0
,8282.0,4.8516579645561695,Out of Stock,2.0
,,,In Stock,48.0
,5219.0,,,19.0
,2760.0,3.705958435276843,Out of Stock,11.0
,9501.0,,Out of Stock,15.0
,7629.0,4.411939077388649,In Stock,3.0
,6868.0,3.98816239671781,,20.0
,8863.0,,In Stock,15.0
C,3465.0,,Out of Stock,40.0
A,6319.0,,Out of Stock,47.0
,498.0,4.257966268010163,In Stock,35.0
,3452.0,3.150789247813135,In Stock,33.0
,1802.0,,Out of Stock,
,3066.0,,Out of Stock,34.0
,2148.0,,In Stock,23.0
D,4943.0,,,14.0
,1425.0,,,25.0
D,1083.0,3.2856516321952367,Out of Stock,28.0
,398.0,2.1283051086160096,Out of Stock,20.0
C,4902.0,3.965778543877458,Out of Stock,31.0
,1735.0,3.5087107241986657,In Stock,20.0
,7213.0,,In Stock,7.0
,284.0,,,7.0
D,2655.0,,In Stock,32.0
,9029.0,1.1550305487835026,,
,1690.0,4.768949677623761,,11.0
B,3837.0,,Out of Stock,18.0
,6216.0,1.912289774361827,In Stock,35.0
,6135.0,4.166996242368398,Out of Stock,40.0
,5325.0,2.175326498491873,Out of Stock,11.0
D,9569.0,,Out of Stock,32.0
,6916.0,4.33207349645741,,42.0
,6993.0,3.2097938237376797,Out of Stock,40.0
A,1628.0,,Out of Stock,11.0
,7891.0,2.2022896033094472,In Stock,47.0
,,,Out of Stock,36.0
B,9780.0,,,15.0
A,8325.0,,Out of Stock,31.0
,2570.0,,Out of Stock,16.0
,868.0,,Out of Stock,21.0
,9303.0,,Out of Stock,13.0
,4147.0,4.341512883470044,In Stock,21.0
C,889.0,,In Stock,26.0
D,568.0,4.482026662167312,,3.0
C,1466.0,2.5340613320685823,In Stock,37.0
,7111.0,,,
D,,4.923387095620516,In Stock,42.0
,8984.0,2.1375805383576907,In Stock,22.0
B,5655.0,,In Stock,41.0
,,,,45.0
B,8082.0,,,2.0
,,3.3686373810108745,In Stock,9.0
B,2137.0,,In Stock,26.0
B,7731.0,4.365546101525959,In Stock,32.0
A,7539.0,3.5445828926421012,In Stock,29.0
C,7340.0,,In Stock,
,4672.0,3.331715957340853,,49.0
A,7180.0,,,2.0
B,4734.0,2.732656991237321,Out of Stock,0.0
C,500.0,,In Stock,43.0
B,7257.0,,In Stock,17.0
,3867.0,,,49.0
,7889.0,4.731517334225362,,32.0
,1028.0,,,34.0
D,6690.0,1.589540662872742,,5.0
,2359.0,4.368024012998475,In Stock,11.0
,8785.0,,In Stock,22.0
B,5164.0,,,27.0
,6036.0,,,24.0
D,7147.0,,Out of Stock,16.0
C,5707.0,1.9189810492587633,In Stock,30.0
D,8421.0,1.6514721863340487,,4.0
,1924.0,,,20.0
,2642.0,,Out of Stock,2.0
,1889.0,3.08117485255276,Out of Stock,41.0
,2328.0,1.4576157231006155,,26.0
B,7799.0,1.6778582085029523,In Stock,21.0
,3867.0,,In Stock,26.0
,1940.0,1.198293259307524,Out of Stock,4.0
B,8282.0,2.115695884345242,,25.0
,8773.0,,,15.0
C,6566.0,,,20.0
,9346.0,3.6835320010152284,In Stock,39.0
C,5961.0,,Out of Stock,3.0
D,8933.0,,,15.0
,4374.0,,Out of Stock,21.0
,,,In Stock,24.0
,,1.1562068663883425,In Stock,26.0
,796.0,,,18.0
,2302.0,,Out of Stock,10.0
,6806.0,,,18.0
D,934.0,4.186910590192896,,9.0
,3818.0,4.698912084003331,Out of Stock,21.0
,6281.0,1.4977180700077564,,43.0
A,8574.0,,Out of Stock,
,684.0,2.334876059440285,Out of Stock,
D,4304.0,4.590515555651416,In Stock,1.0
A,9221.0,4.755403019596821,,17.0
A,,,,0.0
D,3740.0,3.6119005297256845,In Stock,16.0
D,440.0,1.003436632335775,Out of Stock,10.0
,2352.0,4.463197134493699,,37.0
,1519.0,,In Stock,15.0
A,1089.0,,,32.0
C,8473.0,,Out of Stock,19.0
,1786.0,,Out of Stock,14.0
,2993.0,,Out of Stock,43.0
,6961.0,3.5257185988568516,,16.0
,1167.0,2.5072804217173292,In Stock,47.0
C,126.0,,Out of Stock,23.0
B,7441.0,,In Stock,3.0
D,2242.0,4.464652126339724,Out of Stock,24.0
A,6244.0,,In Stock,41.0
,4477.0,4.066780091441775,,37.0
,474.0,,,3.0
C,4661.0,2.1020194024248116,In Stock,19.0
,3793.0,2.055446765856242,In Stock,22.0
C,5506.0,,Out of Stock,29.0
,8437.0,,,45.0
D,8699.0,4.169566882828471,,30.0
,187.0,1.748495445902603,Out of Stock,36.0
D,2952.0,,In Stock,34.0
C,5754.0,,In Stock,30.0
C,6194.0,1.3518798216034758,Out of Stock,45.0
,9201.0,,In Stock,14.0
,7054.0,,In Stock,10.0
,2514.0,4.578985000049446,,2.0
,4773.0,2.786519202005999,In Stock,27.0
,6258.0,,Out of Stock,10.0
,7028.0,3.115534583434127,Out of Stock,34.0
,4531.0,,,42.0
C,1094.0,,In Stock,48.0
D,3922.0,,Out of Stock,
,6942.0,,,
C,9731.0,2.1834264982629024,In Stock,12.0
,4579.0,,In Stock,
A,1034.0,,In Stock,
,218.0,,,25.0
,7847.0,4.657849083891276,Out of Stock,46.0
D,4565.0,,Out of Stock,36.0
,5824.0,4.146355761675798,Out of Stock,11.0
A,4611.0,4.37048124208564,,10.0
,2462.0,2.914034020509053,Out of Stock,14.0
,6129.0,3.373470881731988,Out of Stock,31.0
A,9599.0,,In Stock,36.0
,6566.0,4.554351229749534,In Stock,24.0
,5615.0,2.429237788545331,,13.0
D,8075.0,,,48.0
,8968.0,3.898796613606577,Out of Stock,7.0
,9714.0,,Out of Stock,10.0
,5941.0,,Out of Stock,38.0
,3770.0,,Out of Stock,10.0
,4221.0,3.4658929879223646,,32.0
,8086.0,,,19.0
,5672.0,,,12.0
,6479.0,2.8198421968953298,In Stock,32.0
,4793.0,2.7051740878456276,In Stock,28.0
B,9379.0,1.8653378511013021,,23.0
,8215.0,2.290265230464118,Out of Stock,13.0
A,,,In Stock,24.0
D,282.0,,,23.0
,4844.0,3.7828755089715345,Out of Stock,49.0
B,5638.0,,In Stock,12.0
C,8823.0,1.1348564209434389,Out of Stock,
C,4690.0,3.9159657435252897,,22.0
,3475.0,4.720175684741123,Out of Stock,6.0
,4609.0,,In Stock,5.0
C,9265.0,,In Stock,23.0
C,5724.0,,Out of Stock,13.0
,1503.0,2.8694291378048606,Out of Stock,49.0
,4119.0,,In Stock,15.0
,,,Out of Stock,33.0
B,3216.0,,,28.0
B,4799.0,,In Stock,41.0
,3557.0,,In Stock,44.0
,3496.0,1.9294251933121558,,41.0
B,9572.0,,Out of Stock,27.0
,3010.0,4.341961604746594,Out of Stock,41.0
,1121.0,,Out of Stock,27.0
D,5950.0,4.415305570246785,In Stock,18.0
,945.0,4.128949867087271,In Stock,34.0
,7711.0,1.4110873677443294,Out of Stock,19.0
,1762.0,2.8448276824894627,In Stock,1.0
,3321.0,3.599726301535442,,
,1839.0,3.957731684835199,,39.0
D,6313.0,1.5522474841308491,In Stock,10.0
,2849.0,1.8035000587695875,Out of Stock,40.0
