satisfaction,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
satisfied,Loyal Customer,14,Personal Travel,Eco,3639,4,4,4,2,4,4,5,4,4,2,3,1,1,4,0,10.0
satisfied,Loyal Customer,38,Personal Travel,Eco,3701,4,4,4,2,2,4,2,2,1,5,1,2,3,2,0,9.0
dissatisfied,Loyal Customer,17,Personal Travel,Eco,3026,1,2,1,2,4,1,4,4,4,1,2,4,2,4,13,5.0
satisfied,Loyal Customer,42,Personal Travel,Eco,1761,4,4,4,2,5,4,4,5,5,4,5,3,5,5,84,78.0
dissatisfied,Loyal Customer,29,Personal Travel,Eco,3460,1,2,1,2,5,1,5,5,2,2,3,1,2,5,0,0.0
satisfied,Loyal Customer,62,Personal Travel,Eco,1752,4,4,4,2,1,5,3,1,1,4,1,2,1,5,0,0.0
dissatisfied,Loyal Customer,46,Personal Travel,Eco,2994,1,2,1,2,3,1,3,3,4,4,2,2,2,3,38,39.0
dissatisfied,Loyal Customer,32,Personal Travel,Eco,3080,1,2,1,2,5,1,5,5,1,4,1,4,2,5,0,0.0
dissatisfied,Loyal Customer,42,Personal Travel,Eco,3047,1,2,1,2,1,1,1,1,3,3,1,1,2,1,0,0.0
dissatisfied,Loyal Customer,20,Personal Travel,Eco,2584,1,2,1,2,4,1,4,4,4,4,2,4,3,4,3,45.0
satisfied,Loyal Customer,57,Personal Travel,Eco,1533,4,4,4,2,2,4,5,4,4,4,4,3,4,3,0,4.0
satisfied,Loyal Customer,54,Personal Travel,Eco,1511,4,4,4,2,1,4,1,1,4,1,5,4,5,1,34,6.0
satisfied,Loyal Customer,44,Personal Travel,Eco,1454,4,4,4,2,3,1,5,5,5,4,5,1,5,2,0,0.0
dissatisfied,Loyal Customer,43,Personal Travel,Eco,2933,1,2,1,2,1,4,4,4,3,3,2,4,3,4,138,105.0
satisfied,Loyal Customer,44,Personal Travel,Eco,1242,4,4,4,2,4,5,4,5,5,4,4,4,5,4,0,0.0
dissatisfied,Loyal Customer,63,Personal Travel,Eco,2058,1,2,1,2,2,1,2,2,3,3,2,4,3,2,90,78.0
dissatisfied,Loyal Customer,51,Personal Travel,Eco Plus,2540,1,2,1,2,4,1,4,4,3,1,2,3,2,4,17,0.0
dissatisfied,Loyal Customer,39,Personal Travel,Eco Plus,2166,1,2,1,2,5,1,5,5,3,3,2,4,3,5,14,6.0
satisfied,Loyal Customer,49,Personal Travel,Eco,1080,4,4,4,3,4,2,2,3,5,4,4,2,5,2,41,46.0
dissatisfied,Loyal Customer,50,Personal Travel,Eco,1959,1,2,1,2,4,1,4,4,4,4,3,2,2,4,0,0.0
dissatisfied,Loyal Customer,12,Personal Travel,Eco,1954,1,2,1,2,1,1,1,1,1,4,2,2,3,1,18,11.0
dissatisfied,Loyal Customer,47,Personal Travel,Business,1029,1,2,1,2,1,3,3,3,3,1,3,4,3,4,24,39.0
dissatisfied,Loyal Customer,62,Personal Travel,Eco,1862,1,2,1,2,4,1,4,4,4,4,2,1,3,4,0,11.0
dissatisfied,Loyal Customer,53,Personal Travel,Eco,2056,1,2,1,2,4,1,4,4,4,2,3,3,3,4,15,38.0
dissatisfied,Loyal Customer,55,Personal Travel,Eco,2573,1,2,1,2,4,1,4,4,2,5,2,3,2,4,13,14.0
satisfied,Loyal Customer,32,Personal Travel,Eco Plus,2554,4,4,4,3,1,4,1,1,3,5,4,5,5,1,0,0.0
dissatisfied,Loyal Customer,47,Personal Travel,Eco,1874,1,2,1,2,2,1,2,2,2,5,2,3,3,2,0,0.0
dissatisfied,Loyal Customer,16,Personal Travel,Eco,2294,1,2,1,2,2,1,2,2,2,1,2,3,2,2,0,0.0
satisfied,Loyal Customer,52,Personal Travel,Business,982,4,4,4,3,4,1,1,3,3,3,4,1,3,1,34,48.0
dissatisfied,Loyal Customer,49,Personal Travel,Eco,2218,1,2,1,2,1,1,1,1,3,5,2,3,3,1,1,0.0
dissatisfied,Loyal Customer,65,Personal Travel,Eco,1991,1,2,1,2,3,1,1,3,2,5,3,4,3,3,5,4.0
dissatisfied,Loyal Customer,56,Personal Travel,Eco,2431,1,2,1,2,5,1,5,5,3,1,2,2,3,5,0,10.0
satisfied,Loyal Customer,70,Personal Travel,Eco,875,4,4,4,3,3,4,4,5,5,4,5,5,5,3,34,20.0
satisfied,Loyal Customer,28,Personal Travel,Eco,1903,4,4,4,3,5,4,5,5,5,5,4,3,5,5,11,8.0
dissatisfied,Loyal Customer,26,Personal Travel,Eco,2247,1,2,1,2,4,1,4,4,2,2,2,4,3,4,0,0.0
dissatisfied,Loyal Customer,52,Personal Travel,Eco,2713,1,2,1,2,5,1,5,5,4,4,3,2,2,5,0,0.0
dissatisfied,Loyal Customer,60,Personal Travel,Eco,2091,1,2,1,2,2,1,2,2,4,5,1,3,2,2,38,22.0
dissatisfied,Loyal Customer,10,Personal Travel,Business,2631,1,2,1,2,1,5,5,1,1,1,1,5,2,5,265,265.0
satisfied,Loyal Customer,69,Personal Travel,Eco,739,4,4,4,3,4,5,5,3,3,4,3,5,3,5,0,0.0
dissatisfied,Loyal Customer,16,Personal Travel,Eco,2146,1,2,1,2,4,1,4,4,2,2,3,3,2,4,1,0.0
dissatisfied,Loyal Customer,20,Personal Travel,Eco,2393,1,2,1,2,1,1,2,1,1,4,2,2,2,1,41,30.0
dissatisfied,Loyal Customer,50,Personal Travel,Eco,2068,1,2,1,2,2,1,3,2,3,4,1,4,3,2,0,0.0
dissatisfied,Loyal Customer,29,Personal Travel,Eco,1636,1,2,1,2,2,1,2,2,2,2,2,3,2,2,0,0.0
dissatisfied,Loyal Customer,26,Personal Travel,Eco,2015,1,2,1,2,1,1,1,1,2,1,3,1,2,1,0,0.0
dissatisfied,Loyal Customer,67,Personal Travel,Eco,1498,1,2,1,2,1,1,1,1,1,1,2,3,3,1,18,21.0
satisfied,Loyal Customer,9,Personal Travel,Eco Plus,2121,4,4,4,3,5,3,5,4,4,4,4,5,4,5,0,0.0
dissatisfied,Loyal Customer,11,Personal Travel,Eco,2004,1,2,1,2,4,1,4,4,2,1,3,2,3,4,0,0.0
dissatisfied,Loyal Customer,10,Personal Travel,Eco,1283,1,2,1,2,5,1,5,5,2,4,3,4,3,5,0,0.0
dissatisfied,Loyal Customer,43,Personal Travel,Eco,1844,1,2,1,2,1,1,1,1,2,2,2,3,2,1,0,0.0
satisfied,Loyal Customer,23,Personal Travel,Eco,2124,4,4,4,3,4,4,4,4,4,4,3,5,4,3,1,8.0
satisfied,Loyal Customer,50,Personal Travel,Eco,515,4,4,4,3,3,4,3,3,4,2,3,2,4,3,15,0.0
dissatisfied,Loyal Customer,59,Personal Travel,Eco Plus,2018,1,2,1,2,2,1,2,2,1,3,3,1,2,2,82,71.0
satisfied,Loyal Customer,10,Personal Travel,Eco,1362,4,4,4,3,3,4,3,3,3,3,5,5,4,3,0,0.0
satisfied,Loyal Customer,14,Personal Travel,Eco,1377,4,4,4,3,2,4,2,2,3,2,4,2,3,2,0,0.0
satisfied,Loyal Customer,35,Personal Travel,Eco,1929,4,4,4,3,5,4,5,1,1,4,1,5,1,3,0,0.0
dissatisfied,Loyal Customer,10,Personal Travel,Eco,1537,1,2,1,2,5,1,5,5,4,1,3,1,2,5,78,46.0
satisfied,Loyal Customer,48,Personal Travel,Eco,465,4,4,4,3,5,1,4,2,2,4,2,1,2,2,0,4.0
dissatisfied,Loyal Customer,9,Personal Travel,Eco,1628,1,2,1,2,4,1,4,4,3,2,3,2,3,4,4,0.0
dissatisfied,Loyal Customer,25,Personal Travel,Eco,1551,1,2,1,2,3,1,2,3,3,5,2,4,2,3,22,16.0
dissatisfied,Loyal Customer,63,Personal Travel,Eco,1940,1,2,1,2,4,1,4,4,3,1,3,3,3,4,0,0.0
dissatisfied,Loyal Customer,14,Personal Travel,Eco,1710,1,2,1,2,2,1,2,2,2,4,3,3,3,2,0,0.0
satisfied,Loyal Customer,45,Personal Travel,Eco,378,4,4,4,3,5,4,5,5,4,2,4,3,4,5,54,47.0
satisfied,Loyal Customer,28,Personal Travel,Eco,1222,4,4,4,3,3,5,4,3,3,4,3,4,3,4,11,0.0
dissatisfied,Loyal Customer,35,Personal Travel,Eco,1488,1,2,1,2,3,1,3,3,3,1,2,2,3,3,0,0.0
satisfied,Loyal Customer,16,Personal Travel,Eco,2227,4,4,4,3,2,4,2,2,5,3,4,5,4,2,0,0.0
satisfied,Loyal Customer,48,Personal Travel,Eco,290,4,4,4,3,5,4,2,5,5,4,5,4,5,5,0,9.0
dissatisfied,Loyal Customer,54,Personal Travel,Eco,1225,1,2,1,2,1,1,4,1,4,5,1,2,2,1,0,0.0
dissatisfied,Loyal Customer,10,Personal Travel,Eco,1098,1,2,1,2,4,1,5,4,4,4,3,1,3,4,0,0.0
dissatisfied,Loyal Customer,41,Personal Travel,Eco Plus,1283,1,2,1,2,2,1,1,2,3,5,2,1,2,2,0,3.0
satisfied,Loyal Customer,49,Personal Travel,Eco,210,4,4,4,3,1,4,1,1,4,3,2,4,3,1,0,0.0
dissatisfied,Loyal Customer,34,Personal Travel,Eco,1099,1,2,1,2,3,1,3,3,2,3,2,3,1,3,38,37.0
satisfied,Loyal Customer,15,Personal Travel,Eco,1814,4,4,4,3,5,4,5,5,3,4,4,4,4,5,19,14.0
satisfied,Loyal Customer,60,Personal Travel,Eco,84,4,4,4,3,2,4,2,2,4,5,5,5,5,2,0,3.0
satisfied,Loyal Customer,16,Personal Travel,Eco,1240,4,4,4,3,3,4,4,1,1,4,1,5,1,4,0,0.0
satisfied,Loyal Customer,21,Personal Travel,Eco,1576,4,4,4,3,5,5,4,5,5,4,5,5,5,5,35,55.0
dissatisfied,Loyal Customer,11,Personal Travel,Eco,1133,1,2,1,2,3,1,3,3,3,2,3,1,2,3,0,0.0
satisfied,Loyal Customer,10,Personal Travel,Eco,4402,4,4,4,3,5,4,5,5,4,4,5,3,4,5,0,7.0
dissatisfied,Loyal Customer,54,Personal Travel,Eco,4088,1,2,1,3,1,4,4,3,2,3,3,4,3,4,0,3.0
satisfied,Loyal Customer,64,Personal Travel,Eco,2630,4,4,4,3,5,4,5,5,1,1,4,4,3,5,0,23.0
dissatisfied,Loyal Customer,32,Personal Travel,Eco,4083,1,2,1,3,4,1,4,4,2,2,2,3,3,4,0,0.0
dissatisfied,Loyal Customer,13,Personal Travel,Eco,3781,1,2,1,3,2,1,2,2,4,1,4,3,3,2,0,0.0
satisfied,Loyal Customer,33,Personal Travel,Eco,3897,4,4,4,3,1,4,1,1,5,4,4,4,4,1,0,0.0
dissatisfied,Loyal Customer,58,Personal Travel,Eco,3139,1,2,1,3,5,1,5,5,2,4,3,3,3,5,0,0.0
dissatisfied,Loyal Customer,65,Personal Travel,Eco,3948,1,2,1,3,3,1,3,3,1,5,3,4,3,3,0,0.0
dissatisfied,Loyal Customer,21,Personal Travel,Eco,3224,1,2,1,3,1,4,4,4,3,3,2,4,4,4,0,19.0
dissatisfied,Loyal Customer,44,Personal Travel,Eco,3744,1,2,1,3,2,1,2,2,1,2,3,1,4,2,0,0.0
dissatisfied,Loyal Customer,61,Personal Travel,Eco,3428,1,2,1,3,1,1,1,1,1,3,3,2,3,1,0,0.0
satisfied,Loyal Customer,37,Personal Travel,Eco Plus,3479,4,4,4,3,1,4,1,1,5,3,5,4,5,1,0,0.0
dissatisfied,Loyal Customer,36,Personal Travel,Eco,3151,1,2,1,3,1,1,1,1,3,5,4,2,3,1,0,0.0
satisfied,Loyal Customer,60,Personal Travel,Eco,2201,4,4,4,3,3,5,4,4,4,4,4,4,4,3,0,4.0
dissatisfied,Loyal Customer,49,Personal Travel,Eco,3741,1,2,1,3,2,1,2,2,4,4,4,3,4,2,0,0.0
satisfied,Loyal Customer,66,Personal Travel,Eco,2194,4,4,4,3,5,5,5,3,3,4,3,4,3,5,36,19.0
satisfied,Loyal Customer,53,Personal Travel,Eco,2137,4,4,4,3,3,4,1,5,5,4,1,4,5,1,0,0.0
satisfied,Loyal Customer,23,Personal Travel,Eco,2986,4,4,4,3,3,2,2,3,3,4,3,5,3,5,0,0.0
dissatisfied,Loyal Customer,31,Personal Travel,Eco,3195,1,2,1,3,4,1,4,4,3,3,4,4,3,4,39,14.0
dissatisfied,Loyal Customer,69,Personal Travel,Eco,3513,1,2,1,3,1,1,1,1,2,4,4,2,3,1,2,10.0
satisfied,Loyal Customer,21,Personal Travel,Eco,3260,4,4,4,3,4,5,5,3,3,4,3,3,3,5,0,0.0
dissatisfied,Loyal Customer,28,Personal Travel,Eco,3033,1,2,1,3,4,1,4,4,3,3,4,1,4,4,0,0.0
satisfied,Loyal Customer,41,Personal Travel,Eco,3442,4,4,4,3,1,4,1,1,3,2,4,5,5,1,37,4.0
satisfied,Loyal Customer,19,Personal Travel,Eco,2705,4,4,4,3,4,3,4,5,5,4,5,1,5,4,4,0.0
dissatisfied,Loyal Customer,44,Personal Travel,Eco,2563,1,2,1,3,5,1,5,5,4,3,1,4,3,5,0,0.0
dissatisfied,Loyal Customer,35,Personal Travel,Eco,2686,1,2,1,3,4,1,2,4,2,2,3,4,4,4,0,35.0
dissatisfied,Loyal Customer,49,Personal Travel,Eco,2933,1,2,1,3,1,1,1,1,1,3,3,4,3,1,2,0.0
dissatisfied,Loyal Customer,63,Personal Travel,Eco,2793,1,2,1,3,1,1,1,1,4,4,3,2,3,1,0,6.0
satisfied,Loyal Customer,56,Personal Travel,Eco,1794,4,4,4,3,2,4,2,2,3,5,4,3,5,2,9,40.0
dissatisfied,Loyal Customer,21,Personal Travel,Eco Plus,3149,1,2,1,3,3,1,3,3,1,2,4,1,3,3,19,45.0
satisfied,Loyal Customer,52,Personal Travel,Eco,1796,4,4,4,3,1,3,3,4,4,4,4,4,4,5,11,6.0
satisfied,Loyal Customer,46,Personal Travel,Eco,1759,4,4,4,3,4,4,5,4,5,1,5,1,1,4,2,10.0
dissatisfied,Loyal Customer,30,Personal Travel,Eco,3209,1,2,1,3,2,1,3,2,3,1,3,3,2,2,75,71.0
dissatisfied,Loyal Customer,28,Personal Travel,Eco,3608,1,2,1,3,1,4,4,4,5,3,3,4,3,4,138,106.0
satisfied,Loyal Customer,7,Personal Travel,Eco,3175,4,4,4,3,3,5,5,5,5,4,5,5,5,4,15,0.0
satisfied,Loyal Customer,40,Personal Travel,Eco,2934,4,4,4,3,4,4,5,3,3,4,3,4,3,5,12,0.0
dissatisfied,Loyal Customer,20,Personal Travel,Eco,3457,1,2,1,3,4,1,2,4,4,1,4,3,3,4,0,0.0
dissatisfied,Loyal Customer,67,Personal Travel,Eco,3194,1,2,1,3,4,1,4,4,2,2,4,3,3,4,0,0.0
satisfied,Loyal Customer,50,Personal Travel,Eco,1627,4,4,4,3,3,4,3,1,1,4,1,2,1,4,0,0.0
dissatisfied,Loyal Customer,61,Personal Travel,Eco Plus,3051,1,2,1,3,4,1,4,4,2,1,3,2,4,4,32,71.0
satisfied,Loyal Customer,65,Personal Travel,Eco,1578,4,4,4,3,2,4,2,2,1,5,3,4,4,2,122,99.0
dissatisfied,Loyal Customer,36,Personal Travel,Eco,2598,1,2,1,3,5,1,4,5,4,4,2,4,4,5,0,3.0
dissatisfied,Loyal Customer,13,Personal Travel,Business,2872,1,2,1,3,4,1,4,4,3,1,3,3,2,4,0,6.0
satisfied,Loyal Customer,21,Personal Travel,Eco,2412,4,4,4,3,3,4,3,3,4,2,5,5,4,3,10,25.0
dissatisfied,Loyal Customer,19,Personal Travel,Eco Plus,2482,1,2,1,3,2,1,1,2,1,5,3,4,4,2,0,0.0
dissatisfied,Loyal Customer,29,Personal Travel,Eco,2984,1,2,1,3,4,1,4,4,4,4,3,4,4,4,0,0.0
dissatisfied,Loyal Customer,8,Personal Travel,Eco,2663,1,2,1,3,3,1,3,3,4,4,4,2,3,3,61,70.0
satisfied,Loyal Customer,21,Personal Travel,Eco Plus,2777,4,4,4,3,2,4,5,4,4,4,4,4,4,4,92,98.0
satisfied,Loyal Customer,16,Personal Travel,Eco,2354,4,4,4,3,1,3,3,2,2,4,2,2,2,1,0,0.0
satisfied,Loyal Customer,56,Personal Travel,Business,1435,4,4,4,3,4,4,4,5,5,4,5,4,5,4,0,0.0
dissatisfied,Loyal Customer,9,Personal Travel,Eco,2757,1,2,1,3,2,1,2,2,4,2,4,1,4,2,0,0.0
dissatisfied,Loyal Customer,34,Personal Travel,Eco,2231,1,2,1,3,2,1,2,2,1,5,4,1,4,2,22,11.0
satisfied,Loyal Customer,12,Personal Travel,Eco,2503,4,4,4,3,4,5,4,5,5,4,5,5,5,5,0,0.0
satisfied,Loyal Customer,19,Personal Travel,Eco,2156,4,4,4,3,5,5,4,5,5,4,5,3,5,4,30,18.0
satisfied,Loyal Customer,42,Personal Travel,Eco,1260,4,4,4,3,2,2,4,5,5,4,5,1,5,2,0,0.0
dissatisfied,Loyal Customer,64,Personal Travel,Eco,2990,1,2,1,3,2,1,2,2,3,2,2,2,3,2,0,1.0
dissatisfied,Loyal Customer,35,Personal Travel,Eco,2528,1,2,1,3,4,1,3,4,4,3,3,3,4,4,0,0.0
dissatisfied,Loyal Customer,47,Personal Travel,Eco,1954,1,2,1,3,4,1,4,4,4,1,2,4,4,4,0,0.0
satisfied,Loyal Customer,13,Personal Travel,Eco,2031,4,4,4,3,3,4,2,3,3,3,4,4,5,3,16,0.0
satisfied,Loyal Customer,14,Personal Travel,Eco Plus,3140,4,4,4,3,2,4,1,2,1,1,4,3,3,2,0,0.0
dissatisfied,Loyal Customer,51,Personal Travel,Eco,2615,1,2,1,3,4,1,4,4,1,2,3,2,3,4,13,2.0
satisfied,Loyal Customer,70,Personal Travel,Eco,1181,4,4,4,3,4,4,4,4,3,3,3,4,4,4,0,0.0
satisfied,Loyal Customer,34,Personal Travel,Eco,2658,4,4,4,3,1,2,3,3,3,4,5,3,3,4,51,56.0
satisfied,Loyal Customer,21,Personal Travel,Eco,2574,4,4,4,3,5,4,5,5,3,5,5,5,5,5,2,0.0
satisfied,Loyal Customer,55,Personal Travel,Eco,1126,4,4,4,4,2,4,2,2,2,4,4,5,4,2,0,0.0
dissatisfied,Loyal Customer,66,Personal Travel,Eco,2720,1,2,1,3,4,1,4,4,2,3,4,4,3,4,7,31.0
satisfied,Loyal Customer,37,Personal Travel,Eco,2311,4,4,4,4,4,4,4,4,3,1,1,4,4,4,0,0.0
satisfied,Loyal Customer,44,Personal Travel,Eco,1126,4,4,4,4,1,4,4,3,3,4,3,4,3,4,0,0.0
satisfied,Loyal Customer,25,Personal Travel,Eco,2399,4,4,4,4,1,4,5,1,3,2,4,1,4,1,0,0.0
satisfied,Loyal Customer,28,Personal Travel,Eco,2319,4,4,4,4,2,4,4,2,2,2,3,1,3,2,13,0.0
satisfied,Loyal Customer,53,Personal Travel,Eco,1096,4,4,4,4,3,4,4,1,1,4,1,4,1,3,0,0.0
dissatisfied,Loyal Customer,64,Personal Travel,Eco,2047,1,2,1,3,2,1,2,2,2,5,4,4,3,2,0,0.0
satisfied,Loyal Customer,43,Personal Travel,Eco,1089,4,4,4,4,2,4,5,5,5,4,5,5,5,3,0,0.0
dissatisfied,Loyal Customer,47,Personal Travel,Eco,2792,1,2,1,3,3,1,3,3,3,2,4,2,4,3,0,0.0
dissatisfied,Loyal Customer,15,Personal Travel,Eco,2380,1,2,1,3,2,1,1,2,4,4,3,2,3,2,0,0.0
dissatisfied,Loyal Customer,37,Personal Travel,Eco,2277,1,2,1,3,2,1,2,2,1,1,3,3,3,2,30,16.0
dissatisfied,Loyal Customer,10,Personal Travel,Eco,2667,1,2,1,3,3,1,3,3,1,3,3,1,3,3,0,0.0
dissatisfied,Loyal Customer,60,Personal Travel,Eco Plus,2547,1,2,1,3,5,1,5,5,4,1,4,3,4,5,0,0.0
dissatisfied,Loyal Customer,29,Personal Travel,Eco,1799,1,2,1,3,2,1,2,2,3,2,4,4,4,2,0,0.0
dissatisfied,Loyal Customer,15,Personal Travel,Eco,2682,1,2,1,3,3,1,3,3,1,4,4,4,3,3,42,64.0
satisfied,Loyal Customer,31,Personal Travel,Eco,2406,4,4,4,4,4,4,5,4,4,5,5,4,5,4,0,0.0
dissatisfied,Loyal Customer,38,Personal Travel,Eco,2497,1,2,1,3,2,1,2,2,1,1,4,3,3,2,0,0.0
satisfied,Loyal Customer,29,Personal Travel,Eco,2499,4,4,4,4,4,4,4,4,1,1,4,3,4,4,0,0.0
dissatisfied,Loyal Customer,36,Personal Travel,Eco,2083,1,2,1,3,1,1,1,1,2,2,3,2,3,1,23,41.0
satisfied,Loyal Customer,25,Personal Travel,Eco Plus,2203,4,4,4,4,3,2,3,3,3,4,3,3,3,4,24,23.0
dissatisfied,Loyal Customer,9,Personal Travel,Eco,1953,1,2,1,3,5,1,5,5,2,2,3,2,4,5,0,0.0
dissatisfied,Loyal Customer,57,Personal Travel,Eco,2155,1,2,1,3,1,1,1,1,4,2,4,2,4,1,3,13.0
dissatisfied,Loyal Customer,45,Personal Travel,Eco,1934,1,2,1,3,2,1,2,2,2,4,4,2,3,2,72,77.0
satisfied,Loyal Customer,58,Personal Travel,Eco,958,4,4,4,4,3,3,3,4,4,4,4,5,4,4,0,14.0
dissatisfied,Loyal Customer,16,Personal Travel,Eco,2675,1,2,1,3,1,5,5,3,3,4,3,5,2,5,177,178.0
dissatisfied,Loyal Customer,33,Personal Travel,Eco,2169,1,2,1,3,5,1,5,5,2,4,3,2,3,5,9,5.0
dissatisfied,Loyal Customer,66,Personal Travel,Eco,2822,1,2,1,3,1,1,1,1,1,4,4,4,4,1,0,0.0
dissatisfied,Loyal Customer,28,Personal Travel,Eco,1758,1,2,1,3,5,1,5,5,4,4,4,1,4,5,8,0.0
dissatisfied,Loyal Customer,14,Personal Travel,Eco,1629,1,2,1,3,5,1,5,5,2,4,3,3,4,5,0,0.0
dissatisfied,Loyal Customer,32,Personal Travel,Eco,2014,1,2,1,3,4,1,4,4,3,1,3,4,4,4,4,0.0
dissatisfied,Loyal Customer,57,Personal Travel,Eco,2395,1,2,1,3,5,1,1,5,2,4,4,3,4,5,6,11.0
dissatisfied,Loyal Customer,37,Personal Travel,Eco,1978,1,2,1,3,4,1,4,4,2,3,3,1,4,4,5,0.0
dissatisfied,Loyal Customer,49,Personal Travel,Eco,2571,1,2,1,3,5,1,5,5,2,4,3,2,3,5,18,0.0
dissatisfied,Loyal Customer,38,Personal Travel,Eco,1933,1,2,1,3,3,1,3,3,2,4,4,2,4,3,0,0.0
satisfied,Loyal Customer,48,Personal Travel,Eco,967,4,4,4,4,3,4,3,3,4,2,5,4,5,3,0,7.0
satisfied,Loyal Customer,9,Personal Travel,Eco,2693,4,4,4,4,5,4,4,5,3,3,5,5,5,5,42,46.0
dissatisfied,Loyal Customer,67,Personal Travel,Eco Plus,2262,1,2,1,3,3,1,4,3,2,3,3,2,4,3,0,0.0
satisfied,Loyal Customer,7,Personal Travel,Eco,2345,4,4,4,4,4,4,4,4,4,3,4,3,4,4,34,27.0
dissatisfied,Loyal Customer,34,Personal Travel,Eco,2596,1,2,1,3,4,1,4,4,1,4,3,2,3,4,1,0.0
satisfied,Loyal Customer,70,Personal Travel,Eco,918,4,4,4,4,3,4,3,3,4,4,4,2,4,3,0,12.0
dissatisfied,Loyal Customer,29,Personal Travel,Eco,2187,1,2,1,3,2,1,1,2,1,2,3,1,4,2,0,3.0
dissatisfied,Loyal Customer,61,Personal Travel,Eco,1769,1,2,1,3,3,1,3,3,2,2,4,3,3,3,46,42.0
satisfied,Loyal Customer,13,Personal Travel,Eco,2115,4,4,4,4,2,4,5,4,4,4,1,4,4,3,0,0.0
satisfied,Loyal Customer,56,Personal Travel,Eco,861,4,4,4,4,5,4,5,5,2,5,4,2,3,5,0,0.0
dissatisfied,Loyal Customer,56,Personal Travel,Business,2787,1,2,1,3,1,5,4,3,1,4,4,4,2,4,154,146.0
satisfied,Loyal Customer,63,Personal Travel,Eco,856,4,4,4,4,1,4,1,1,4,5,3,2,4,1,12,1.0
dissatisfied,Loyal Customer,42,Personal Travel,Business,846,1,2,1,3,2,3,3,3,3,1,4,4,3,2,0,0.0
dissatisfied,Loyal Customer,44,Personal Travel,Eco,2080,1,2,1,3,1,1,1,1,3,3,4,4,4,1,3,0.0
satisfied,Loyal Customer,70,Personal Travel,Business,825,4,4,4,4,5,4,5,5,4,3,4,5,4,5,0,0.0
dissatisfied,Loyal Customer,20,Personal Travel,Eco,2167,1,2,1,3,1,1,1,1,4,4,4,1,4,1,30,22.0
dissatisfied,Loyal Customer,43,Personal Travel,Business,849,1,2,1,3,2,3,3,2,2,1,2,3,2,1,0,0.0
dissatisfied,Loyal Customer,14,Personal Travel,Eco,2506,1,2,1,3,1,4,4,4,2,4,4,4,1,4,232,242.0
dissatisfied,Loyal Customer,10,Personal Travel,Eco,2404,1,2,1,3,3,1,3,3,4,5,4,1,3,3,0,4.0
satisfied,Loyal Customer,58,Personal Travel,Eco,773,4,4,4,4,5,4,5,5,4,3,4,3,4,5,5,0.0
dissatisfied,Loyal Customer,23,Personal Travel,Eco,2177,1,2,1,3,1,1,5,1,3,2,3,4,3,1,0,0.0
satisfied,Loyal Customer,56,Personal Travel,Eco,771,4,4,4,4,2,1,3,2,2,4,2,4,2,3,71,58.0
dissatisfied,Loyal Customer,25,Personal Travel,Eco,1861,1,2,1,3,3,1,4,3,2,1,3,1,4,3,13,13.0
dissatisfied,Loyal Customer,26,Personal Travel,Eco,2401,1,2,1,3,1,1,1,1,1,1,3,1,3,1,31,24.0
dissatisfied,Loyal Customer,40,Personal Travel,Eco,1494,1,2,1,3,3,1,3,3,4,5,3,4,2,3,0,0.0
satisfied,Loyal Customer,53,Personal Travel,Eco,739,4,4,4,4,4,4,4,4,2,2,4,1,4,4,0,0.0
satisfied,Loyal Customer,53,Personal Travel,Eco,740,4,4,4,4,3,4,4,1,1,4,1,4,1,3,73,75.0
dissatisfied,Loyal Customer,61,Personal Travel,Eco,2217,1,2,1,3,5,1,5,5,1,1,2,2,3,5,45,29.0
dissatisfied,Loyal Customer,11,Personal Travel,Eco,2533,1,2,1,3,5,1,5,5,2,5,3,3,3,5,0,1.0
satisfied,Loyal Customer,56,Personal Travel,Eco,772,4,4,4,4,2,4,4,3,3,4,3,4,3,5,0,0.0
satisfied,Loyal Customer,44,Personal Travel,Eco,749,4,4,4,4,4,5,5,3,3,4,3,4,3,5,37,56.0
dissatisfied,Loyal Customer,30,Personal Travel,Eco,2384,1,2,1,3,3,1,3,3,3,2,3,3,3,3,0,0.0
dissatisfied,Loyal Customer,29,Personal Travel,Eco,1875,1,2,1,3,5,1,5,5,4,2,3,1,4,5,1,0.0
dissatisfied,Loyal Customer,48,Personal Travel,Eco,1899,1,2,1,3,2,1,3,2,3,2,3,1,3,2,0,0.0
dissatisfied,Loyal Customer,37,Personal Travel,Eco,1820,1,2,1,3,5,1,5,5,2,2,3,1,4,5,5,0.0
satisfied,Loyal Customer,50,Personal Travel,Eco,713,4,4,4,4,5,4,5,5,4,4,5,5,5,5,0,0.0
dissatisfied,Loyal Customer,54,Personal Travel,Eco,2504,1,2,1,3,3,1,4,3,1,2,3,1,4,3,3,0.0
dissatisfied,Loyal Customer,53,Personal Travel,Eco,2317,1,2,1,3,4,1,4,4,3,1,3,2,3,4,0,0.0
satisfied,Loyal Customer,51,Personal Travel,Eco,676,4,4,4,4,4,4,4,4,5,3,4,3,4,4,5,0.0
satisfied,Loyal Customer,49,Personal Travel,Eco,667,4,4,4,4,3,4,5,3,5,4,4,3,5,3,0,0.0
