rainfall_mm,soil_quality_index,farm_size_hectares,sunlight_hours,fertilizer_kg,crop_yield
1058,6,783,7,1528,464
500,2,93,6,647,77
589,8,164,7,1060,136
1153,9,574,8,231,343
819,4,628,4,1447,374
638,5,366,4,957,230
1344,8,825,6,1255,493
758,3,656,9,2132,398
1401,5,452,4,620,289
1189,3,78,5,129,82
509,10,532,10,2774,356
760,3,152,4,2151,146
671,3,201,10,608,138
1397,7,396,7,1360,280
512,7,387,9,1658,255
1691,7,590,11,115,361
820,10,544,12,1096,338
1842,8,702,9,1707,455
828,5,302,12,1939,224
1284,5,18,7,2116,99
1276,4,280,9,1353,212
1410,7,396,11,1843,290
1942,10,102,12,2410,177
1618,4,975,6,1188,566
817,2,538,5,2412,344
735,4,163,9,1461,140
833,8,414,7,477,256
875,9,849,4,1298,493
1982,3,158,11,575,155
1660,7,898,12,1389,540
1087,9,276,12,428,196
1012,4,431,5,1939,291
1819,10,849,12,1286,524
1843,3,627,10,537,385
1417,5,481,8,1490,322
1872,1,902,10,1873,546
1372,3,556,12,1322,351
1752,8,640,11,1623,420
769,8,535,9,2163,349
1297,4,512,7,1944,340
1814,2,23,4,1419,97
1224,8,787,9,967,464
1688,8,661,6,2658,449
504,10,815,9,1911,480
1350,4,373,9,1083,256
1902,3,128,7,1362,153
577,2,247,5,2728,198
1933,9,555,12,1424,381
1073,1,178,5,2153,165
631,7,531,6,1118,319
1100,5,643,4,1889,401
1565,8,922,10,906,541
588,4,666,4,1993,397
901,7,972,12,1509,556
795,5,967,4,2766,571
1818,5,744,8,1418,464
1115,9,892,10,1241,521
1299,9,778,6,504,455
921,9,789,12,1886,477
1546,6,880,11,693,511
1074,6,525,6,2713,360
642,5,947,8,2899,560
1492,9,406,10,111,267
1164,10,875,7,2312,537
644,8,115,8,1417,120
1748,7,94,6,1642,145
1506,7,223,12,2225,214
1002,6,130,12,713,121
1320,5,141,10,2086,161
603,4,859,5,968,473
1562,3,206,10,911,173
697,3,28,10,1922,78
1078,6,651,8,866,386
890,4,21,12,181,48
1702,6,90,6,1844,144
1053,3,339,7,2356,253
1971,4,875,4,621,515
1538,9,783,9,1427,483
1812,5,401,7,1093,285
977,7,646,4,2612,417
1754,10,316,5,1625,262
1422,2,276,6,1569,215
919,5,456,12,2775,320
656,9,450,11,1613,294
1049,3,904,10,880,506
1964,9,661,7,1551,437
1620,6,850,4,658,497
1520,4,11,11,2238,103
1496,7,529,7,2137,365
1934,8,771,6,1853,495
1450,6,660,12,959,404
788,5,645,7,1712,389
1777,6,318,7,655,236
695,5,749,12,255,410
1097,8,531,5,2149,356
1016,1,478,8,1480,300
1364,7,221,7,924,183
1641,10,121,12,1692,163
1305,10,17,8,2949,125
1682,2,813,12,1181,484
1314,9,486,12,1303,326
727,1,883,5,592,476
715,10,469,12,768,291
1447,6,262,6,174,188
514,9,535,7,470,309
1680,1,761,4,686,445
1784,4,447,4,428,292
1680,4,763,4,689,452
546,9,990,12,1890,566
823,5,863,11,876,483
1343,5,670,8,2122,427
629,6,245,8,2451,201
1934,1,315,12,678,230
594,1,487,6,320,268
1126,9,688,6,1287,420
1254,3,29,10,1603,89
1815,4,225,12,2522,225
1293,1,864,9,1807,508
1806,9,144,5,1845,180
568,8,914,4,287,494
510,2,138,5,1314,113
1777,8,419,4,1209,301
1371,7,431,12,2621,322
1049,6,303,11,943,213
1657,1,255,10,630,191
1211,7,710,6,1170,427
522,10,565,11,1062,338
1314,7,95,5,2622,152
845,9,565,5,1269,350
801,1,851,6,1505,480
862,2,384,10,616,233
895,9,455,4,1988,311
717,9,387,11,2573,284
640,6,399,10,1591,262
1457,6,666,7,1217,412
1733,4,60,8,232,93
1484,4,251,4,413,185
1492,5,303,7,690,219
1327,3,929,4,1643,542
1182,1,572,4,2306,368
1983,1,275,4,2808,254
1503,7,129,10,1985,162
855,1,721,10,1726,422
1507,1,926,7,847,526
1847,3,257,5,1597,220
1656,10,79,6,900,126
1387,4,862,11,2557,531
626,4,66,11,1597,91
1629,2,391,9,1479,277
1508,1,48,12,779,86
1103,3,993,12,2261,580
1901,4,810,7,996,489
1513,3,452,4,1646,309
550,8,27,4,1893,82
1552,10,961,8,2212,590
1985,1,741,5,783,446
1819,2,834,9,1395,502
1820,7,765,10,1785,486
1278,4,361,4,1485,255
1930,8,981,9,2293,609
1313,3,825,11,1042,478
1928,6,307,8,1409,250
1869,9,292,10,1133,242
919,1,595,9,2886,384
1705,1,119,7,2333,158
1482,8,189,10,1720,188
1324,3,947,12,2982,578
1524,5,553,10,908,349
1066,1,755,8,270,416
870,5,803,10,2360,484
1435,6,34,6,1653,104
1160,8,852,5,1695,509
1954,3,800,8,1723,498
1468,3,747,7,126,425
1832,10,66,8,1113,129
1660,9,189,11,1191,185
701,4,241,7,2937,207
1959,4,903,12,507,528
812,7,352,10,1232,238
616,2,486,10,173,268
1436,8,808,11,2725,517
1074,6,585,9,779,351
743,3,464,11,1491,289
1036,9,241,6,2933,227
574,5,298,4,948,194
885,8,222,9,969,172
1733,7,267,4,336,205
974,8,539,12,2874,371
917,7,696,5,2525,439
846,3,938,5,2808,555
1139,2,238,10,2977,216
1438,7,235,5,1005,193
1454,3,605,11,2523,402
1375,3,812,9,718,467
1262,2,444,10,2800,319
1702,4,891,10,1132,526
1705,8,767,9,2343,496
1163,1,411,12,2954,301
524,1,631,12,1413,361
1703,5,775,10,946,467
1209,5,97,12,2965,153
1684,1,593,6,2023,388
676,6,902,6,2711,536
784,1,551,4,733,314
562,5,693,8,2826,429
1502,9,318,7,1117,243
1161,5,915,5,107,503
1165,6,352,12,1492,252
655,8,445,6,1168,280
1992,1,186,11,2491,204
1572,2,148,9,1880,162
1466,9,203,8,2943,221
1348,3,195,4,1742,177
1607,6,227,7,1316,199
1884,5,173,6,948,171
1188,2,170,4,1480,153
647,7,952,8,161,511
841,4,534,9,1185,323
975,1,817,5,2569,490
1586,4,610,6,1917,398
1883,6,845,9,732,505
1060,7,51,7,891,88
826,7,924,12,2698,554
1664,7,219,8,1400,200
1489,3,750,7,2753,479
714,6,871,5,1554,498
934,8,284,9,1238,210
1451,4,963,5,1811,568
1222,8,288,10,624,208
1841,2,260,6,2120,230
531,10,319,12,998,215
1169,9,729,8,2310,463
784,9,842,11,886,479
1828,8,149,9,1460,173
928,10,801,11,2526,498
2000,10,555,6,272,362
785,1,830,6,1099,461
1667,2,913,8,1910,548
1947,6,539,6,163,342
1542,10,66,11,1445,127
517,5,121,11,1074,107
1268,9,14,5,165,65
1089,5,419,7,1966,290
1894,2,423,4,1722,305
1698,10,191,7,557,176
1509,4,22,7,1702,97
693,9,348,12,2600,264
1001,1,806,6,2057,475
1487,1,268,5,1840,216
1636,7,99,12,1549,143
613,3,625,12,2059,377
1745,10,900,4,2325,567
1446,2,707,9,2054,441
1330,9,259,11,379,194
1787,3,264,6,2491,240
1424,2,597,12,1140,367
554,8,907,5,2443,533
1299,10,980,9,2349,595
1277,6,117,4,1061,128
1981,6,677,10,2831,466
661,10,603,6,2042,381
1903,7,598,10,1317,395
586,7,494,7,474,287
554,6,991,12,2011,564
1999,4,981,8,134,560
1701,9,267,6,1492,231
1914,6,648,11,2176,436
1872,4,912,9,874,537
1531,3,291,5,320,202
1332,4,995,6,2200,588
812,3,97,11,2938,137
1258,2,213,10,2223,192
942,5,25,9,593,62
827,2,160,4,1811,143
1577,6,945,12,2264,576
1260,3,263,6,379,181
1762,6,197,8,845,179
1752,10,338,10,2911,299
1078,9,553,10,2442,375
1574,1,792,6,1574,475
1506,6,406,7,1957,298
1787,9,526,10,1641,366
1941,4,468,11,1196,323
595,2,339,5,2989,250
1611,4,829,12,1159,493
1601,1,854,10,2022,516
1811,3,178,11,2105,191
1643,10,702,9,596,431
1313,9,375,9,2353,291
990,10,187,12,2573,194
951,5,664,7,143,372
664,6,371,8,1951,255
681,3,769,12,2752,465
968,5,648,4,553,372
1409,8,784,7,694,463
1234,6,49,10,1456,102
1322,4,933,12,606,525
1443,2,425,9,893,277
506,9,364,11,120,217
829,1,264,12,1499,188
1274,1,152,7,2767,170
650,4,761,4,2561,458
1608,7,749,11,1194,460
646,1,862,5,1527,481
1904,9,719,4,1685,467
1414,4,586,10,1914,381
1808,3,909,12,1520,544
1199,1,20,12,436,56
581,10,629,6,1767,386
1013,4,35,9,1009,75
1314,9,966,10,375,547
1208,10,430,12,991,290
1245,6,672,5,112,386
1522,6,230,11,1126,194
1909,1,862,10,1073,511
1206,10,505,7,274,313
970,2,246,5,1508,185
1642,6,246,11,1725,218
895,2,228,8,2043,185
760,3,496,9,2388,323
1304,4,945,10,646,532
1433,5,470,4,2161,330
1779,9,672,11,1318,433
1404,4,644,7,1520,401
1749,9,153,12,1554,177
1576,10,999,4,2872,623
1439,3,198,5,1533,177
1353,8,264,9,102,190
1887,1,77,4,2838,152
1803,9,625,7,1942,422
1092,9,345,11,846,239
1213,10,680,8,2916,454
1681,2,830,12,971,488
1131,4,883,9,594,494
558,8,418,4,2564,291
627,7,309,9,1514,216
1235,1,917,9,727,511
1220,5,611,9,1175,374
1638,7,366,11,241,250
1732,4,265,9,1587,223
1025,1,362,8,145,215
1020,9,741,5,2991,477
1051,5,530,7,2157,348
736,2,533,8,763,307
1804,8,846,7,672,505
1882,2,959,5,2129,581
1724,3,765,10,1653,472
1801,10,703,5,1721,458
1758,1,293,4,2796,256
993,2,321,8,1012,213
503,7,108,4,739,96
1165,10,206,4,2763,212
941,2,491,4,2845,333
528,6,887,9,1008,490
1632,3,235,12,2325,218
1109,4,854,4,968,486
1304,8,624,8,1129,388
574,3,627,12,952,355
1337,10,374,12,406,254
1669,6,377,4,2695,303
627,1,579,11,2474,359
541,7,599,4,1916,366
1879,8,84,11,494,123
540,8,51,4,2447,105
1433,3,431,8,848,280
533,10,845,11,2432,506
1540,1,190,9,429,151
1676,9,554,12,2197,388
1497,6,80,4,2131,138
1901,9,577,12,872,380
1087,7,114,4,1745,137
841,1,209,6,1832,167
526,1,110,4,477,81
1810,6,777,6,1887,491
1145,5,316,5,1723,235
1230,9,595,5,1099,373
667,2,692,12,1948,408
1109,8,386,11,1661,275
767,5,664,4,873,381
1320,2,687,7,1183,409
954,10,408,4,1903,289
1405,6,782,4,1198,468
1924,10,230,7,2150,234
1421,8,604,5,1698,393
1480,4,191,6,847,163
1999,2,316,12,1571,253
1201,5,531,5,1864,347
1133,2,405,7,2422,288
629,2,13,4,1653,61
1519,6,872,5,1715,526
1886,10,923,8,2362,584
1318,9,857,4,1608,517
1192,4,813,10,428,458
1815,6,290,7,2402,258
1894,7,224,9,1510,212
1293,6,981,11,225,545
528,8,619,9,866,358
648,4,429,5,1673,274
1819,1,110,4,1327,137
510,7,972,11,1295,540
1175,3,530,11,1858,343
1636,6,582,12,316,358
686,2,318,9,1459,212
1306,9,667,4,1421,418
1243,1,948,12,931,531
1750,6,940,6,281,539
1833,6,519,9,433,334
597,5,72,12,610,75
554,5,642,6,482,356
1122,1,235,8,1996,192
1163,10,114,8,431,119
1257,5,983,10,1288,564
905,2,781,7,1365,448
568,7,870,7,999,485
1835,3,434,10,741,292
1812,4,264,12,1350,221
1250,3,438,7,733,276
1671,3,443,7,2598,328
1990,4,216,9,295,180
1767,5,37,9,1993,120
1457,1,691,10,557,401
864,4,345,4,929,223
981,8,597,6,2404,391
700,10,637,12,2156,402
653,7,78,9,2908,130
1973,9,875,9,1324,540
572,5,755,8,986,423
1212,10,522,6,492,326
795,4,176,8,1775,154
1540,8,873,4,2546,548
1740,9,739,6,2478,488
560,7,794,7,2627,479
1438,7,377,8,2281,290
541,5,260,12,1015,176
524,4,868,7,1034,477
1562,10,865,6,454,507
630,1,940,4,2731,544
1752,10,695,9,1621,451
607,10,179,10,2772,182
671,7,767,11,2437,465
1958,1,944,4,2972,591
601,1,99,7,728,83
1365,5,570,8,2779,390
1023,9,455,5,1270,300
774,6,303,4,426,194
1567,3,928,11,1538,547
1316,3,159,9,2357,171
1456,7,141,8,1521,157
1540,6,442,12,1226,303
829,9,68,5,2783,131
511,6,978,11,1880,553
1841,5,845,12,1631,520
715,10,208,4,2014,184
838,7,224,10,1332,177
1160,1,907,11,2056,531
1604,7,570,6,2575,397
873,3,481,7,492,281
1475,9,753,6,925,456
1209,6,256,10,2012,216
1723,9,391,12,2495,314
965,5,1000,6,149,541
1612,7,248,9,1496,215
1791,4,936,11,1150,552
988,7,376,9,899,249
546,1,177,5,1892,143
1811,7,569,10,2796,408
1277,8,60,5,1463,112
1539,5,820,5,2448,514
1210,2,619,5,1665,382
900,5,960,4,2313,562
1480,6,737,4,2463,473
1609,2,698,10,100,402
749,6,389,8,1119,250
890,6,483,6,1384,306
834,1,89,4,162,73
1128,1,706,9,2630,440
636,10,376,4,1969,265
1382,3,470,12,2369,329
1187,10,920,5,251,519
1326,10,548,4,743,347
1226,3,461,10,725,287
2000,4,473,9,316,310
1093,2,969,9,295,526
1746,9,487,8,1114,335
1489,10,935,7,2794,587
871,7,429,7,2855,310
1434,7,716,6,1621,446
1494,6,223,11,1678,201
901,3,378,10,1180,245
1966,6,863,12,1627,534
1114,8,123,4,821,126
1796,8,763,10,1707,485
1682,9,512,7,1859,360
1675,1,645,10,1662,407
1494,1,826,4,739,473
1119,3,597,8,2253,382
687,3,320,6,264,190
1621,10,478,8,314,313
630,8,833,7,1194,474
1304,10,717,5,189,420
1694,1,872,7,1895,525
1435,2,53,6,1351,99
1485,2,424,4,1202,283
682,3,707,11,707,393
1482,6,864,8,448,496
863,1,255,7,345,161
538,2,958,8,371,505
996,1,93,7,2130,120
1872,5,216,6,502,183
1481,7,160,8,1565,169
1420,8,677,7,1295,422
1920,10,537,4,1179,368
1221,1,174,6,1714,159
1684,7,926,11,1226,551
515,5,984,10,383,524
992,10,154,5,616,138
1949,1,46,4,2765,137
1631,3,342,6,1401,253
1393,7,412,8,711,275
1973,10,423,4,849,306
810,1,54,6,1392,80
1238,7,411,6,1956,294
1693,5,215,8,499,177
1045,1,71,6,1626,100
913,1,429,12,2124,286
750,1,877,4,2233,506
1258,9,477,7,419,301
1664,3,829,7,1155,492
1797,5,28,4,435,85
1939,10,374,5,2198,308
1562,9,309,4,273,223
1313,6,16,9,1741,93
528,9,770,6,600,429
1457,8,437,10,2223,322
976,8,126,8,2463,156
817,1,589,12,1956,359
744,9,516,10,1996,337
1247,6,555,7,1763,361
1196,9,715,8,1818,447
771,3,334,8,1878,232
1963,3,64,8,796,112
1762,6,787,12,831,474
876,9,51,6,1194,92
765,7,306,9,2813,245
1425,3,982,11,751,554
1420,3,240,12,1194,192
1882,2,462,10,145,293
839,9,899,6,1170,515
888,3,403,4,1545,263
1076,5,531,7,2296,352
502,9,367,9,555,227
1952,8,996,6,1762,606
1665,2,453,4,1065,300
875,3,137,9,2120,142
823,2,700,4,968,396
645,8,414,12,1628,274
792,6,401,4,1100,257
931,6,202,9,873,157
1204,9,613,4,2391,407
1448,8,890,10,2621,556
1084,4,752,6,2529,466
898,4,87,9,1226,102
1316,9,94,10,2636,156
1867,1,39,4,1160,99
1463,2,734,4,1777,449
1663,2,58,8,1643,115
686,6,786,9,496,434
560,4,154,12,2443,150
1438,10,78,4,206,105
1903,3,67,7,1053,116
1209,3,706,11,2677,448
1306,3,583,12,1948,375
1963,6,488,6,1033,334
1842,8,829,5,387,492
1825,7,454,7,805,311
1867,4,305,5,2143,258
510,4,687,4,1584,397
1585,10,180,6,314,162
725,2,584,10,1404,345
1676,1,156,4,2879,186
1063,9,493,5,2077,336
1271,2,315,4,1582,230
1833,8,682,11,1924,450
1384,9,662,8,443,398
1766,4,855,11,293,493
1889,8,618,6,257,385
1853,9,455,10,564,311
1630,10,230,11,2251,228
725,10,564,9,2181,366
1324,5,954,10,2786,581
717,7,813,5,1849,477
1436,10,387,11,2472,305
1252,4,629,8,2838,416
1005,1,275,10,691,182
758,3,104,4,2288,125
553,5,271,8,2621,213
1570,3,834,4,1154,492
1226,7,906,11,983,523
1188,9,80,7,162,96
1622,6,963,7,1210,565
1543,10,228,5,403,187
918,1,542,8,1184,323
1189,7,101,4,495,108
1349,3,136,12,433,122
561,5,89,8,2933,129
1668,10,833,9,510,496
715,4,247,5,2431,200
502,10,992,4,565,541
659,5,381,7,179,223
1280,5,925,10,2931,569
1643,6,495,9,1200,332
1392,10,703,4,2077,453
1612,10,34,4,832,100
828,6,165,11,1917,157
1079,8,526,7,1663,343
1880,8,641,8,1484,421
1790,9,798,10,2224,514
1451,8,539,11,2656,381
1846,2,952,10,1287,560
1134,10,719,5,1298,438
1487,1,66,7,2609,130
1718,10,614,4,1711,411
1420,2,28,12,2392,108
1237,2,393,6,221,241
1855,3,874,6,284,503
669,10,202,12,131,143
1020,7,246,6,1097,188
1986,2,396,11,2086,302
539,1,435,5,2909,292
1784,6,286,6,668,220
1918,9,236,5,2457,241
1454,3,754,4,1495,455
1749,6,561,5,1779,379
1483,3,332,11,929,234
1647,1,162,12,1719,166
1474,5,648,5,1179,400
537,10,246,10,890,176
827,4,64,8,2611,116
1774,7,989,6,2825,617
1699,6,445,12,2817,341
1413,10,693,9,2845,465
953,7,118,4,1093,122
536,5,875,8,177,466
1839,4,990,10,2681,611
1472,7,193,7,207,157
1295,7,960,11,1396,560
1472,6,377,8,2911,302
1092,8,992,12,2162,587
1637,4,207,12,469,169
1563,10,380,12,2352,303
1824,5,382,4,2104,296
723,4,982,5,1803,555
817,1,506,6,540,289
848,8,608,7,326,351
614,1,210,12,2675,178
1197,5,858,9,2501,524
1846,6,518,4,722,339
1563,6,331,12,1124,246
539,5,284,9,1676,201
1812,3,220,7,1743,204
1785,5,513,7,1284,344
715,8,912,6,260,497
1670,2,127,10,970,136
835,6,712,6,1845,429
1691,9,563,5,1274,374
591,8,51,11,543,69
852,8,324,7,1890,240
1070,8,797,11,1594,478
1315,7,338,4,562,232
1280,8,26,8,572,78
862,6,292,12,2704,237
1056,2,952,4,179,514
1868,2,267,7,1162,215
1693,8,584,9,339,364
855,1,583,11,656,331
690,6,621,6,689,356
921,6,28,8,1460,82
1199,4,538,10,1984,352
506,10,846,4,2075,498
632,3,432,10,1403,268
1056,3,475,11,1239,299
1325,1,382,11,2416,280
1260,3,767,12,2039,467
1554,4,772,9,434,448
1034,5,976,9,411,536
925,3,90,5,1176,101
1917,6,560,6,2841,405
1171,5,557,7,133,325
862,3,433,7,1941,286
1960,6,438,11,485,299
581,6,397,4,348,233
855,8,930,7,1234,530
1781,2,718,7,1533,446
1088,1,679,4,1302,399
794,4,213,6,893,155
1747,7,205,8,951,187
1569,10,737,9,475,444
1636,3,294,12,823,218
1756,3,978,12,1710,581
516,5,205,12,2013,167
859,5,316,4,301,198
1746,10,673,12,2592,460
1365,3,23,11,2042,98
1199,9,846,5,2444,524
947,4,155,4,1431,141
1355,3,947,4,592,530
864,2,66,9,437,71
1174,10,732,12,2068,462
1507,9,789,10,1965,496
1849,4,219,8,891,190
966,3,538,5,1616,335
913,7,807,4,2122,486
1978,8,353,5,2464,300
1085,2,724,4,1041,418
1756,7,620,6,2773,431
1747,5,288,9,2222,250
1493,5,218,11,158,166
1935,3,650,6,2533,438
1071,5,344,12,2162,257
834,2,297,8,1354,203
1745,4,261,10,2346,237
536,6,274,11,1477,194
1488,1,280,6,134,188
777,10,933,5,261,514
1719,4,929,5,2946,581
1415,6,709,8,994,428
983,9,428,4,570,271
1765,2,735,5,2678,477
1847,7,804,12,2939,529
1230,6,220,10,2999,218
691,2,374,9,1546,242
1540,8,85,12,447,113
1023,7,669,10,793,394
1417,5,330,8,1034,237
900,5,734,12,1012,423
1385,7,442,9,246,280
1204,9,118,9,1811,148
521,9,650,7,774,373
973,9,531,4,1539,342
1643,6,56,8,2834,145
709,10,388,12,1617,267
805,6,836,11,1379,481
1793,3,105,11,785,127
1203,1,967,8,1226,545
1186,7,112,12,220,109
784,4,901,6,2566,532
1215,1,863,6,2497,518
1262,8,155,4,141,133
1750,6,889,12,128,511
1447,6,951,9,1065,551
880,2,937,5,2015,538
959,1,36,11,2932,107
1530,2,741,12,2100,462
528,4,539,12,2161,336
1406,2,688,5,1019,409
1556,1,954,5,917,543
1378,7,998,10,2972,613
578,8,91,7,1608,110
1446,6,437,4,1312,299
958,4,593,11,971,352
1069,6,831,5,394,466
1953,3,488,6,963,326
1237,8,775,8,2695,493
1808,10,171,6,1137,181
1015,2,848,10,2782,513
1622,5,941,10,694,542
896,1,411,5,1282,259
538,6,517,10,1617,318
1794,2,47,9,1452,109
1386,4,964,12,713,545
1296,6,520,12,1972,350
656,10,402,5,1703,273
1598,8,722,10,1683,458
1383,8,503,8,1692,342
1653,6,209,9,1255,190
1473,4,264,4,564,194
1607,8,188,10,1579,189
1545,8,556,9,1390,367
1982,10,603,7,2946,439
1348,1,398,4,2542,291
1905,4,407,12,2393,316
1247,4,741,7,667,428
1963,7,167,5,137,158
1488,7,13,11,344,71
520,8,176,5,120,120
802,5,477,8,1233,296
1368,7,969,9,1729,573
583,8,418,11,493,251
1976,9,421,4,1533,317
1910,3,213,4,1086,190
1780,3,203,7,1771,195
1069,4,244,8,2155,204
1433,5,727,12,2475,465
1685,10,159,10,2010,189
1686,1,168,10,389,143
1508,7,288,11,1886,240
1292,9,825,8,2658,521
1291,8,413,8,1011,280
1794,5,902,4,460,522
991,4,687,12,1722,415
707,7,320,9,2863,251
1583,5,77,12,318,102
929,7,472,6,2553,328
1484,1,97,8,2115,136
1832,1,226,5,2140,211
1019,10,10,8,2144,97
1090,3,144,11,2900,168
1550,2,706,5,931,421
698,2,360,11,1893,242
886,7,149,7,1891,152
848,10,627,4,2941,416
1459,2,142,8,1343,144
1192,4,629,4,694,371
877,2,187,10,2254,168
1398,6,819,11,680,476
1415,8,367,6,2756,296
1026,10,389,6,1847,281
1676,4,917,10,2155,559
1233,5,880,7,2953,545
705,4,667,6,2336,408
954,3,459,11,180,267
1796,5,595,6,2255,405
1759,9,472,10,1444,335
1020,8,999,5,1702,579
1516,8,117,4,2833,175
1455,8,131,9,445,133
1225,8,26,11,1986,105
1513,7,205,4,2475,210
1000,8,336,12,654,226
616,8,327,6,401,205
885,8,818,6,299,456
1867,10,488,7,1162,342
1083,7,261,4,406,184
894,1,512,12,1756,319
1587,4,128,6,1971,158
1220,4,683,7,2615,437
571,5,719,4,2326,432
773,10,507,7,2792,351
1843,6,495,4,1946,352
837,4,54,8,1864,96
1889,2,323,8,375,228
1106,6,188,10,1275,164
665,8,903,11,1501,517
510,8,427,7,2768,299
1824,7,565,10,737,365
1228,6,792,7,1875,481
1300,2,87,6,1029,106
601,7,335,9,1980,238
1948,5,699,7,282,422
1915,6,366,6,1944,290
1278,10,425,12,171,273
713,8,972,8,2866,580
1611,8,524,10,1776,361
900,3,223,9,1395,171
1087,7,863,8,2873,534
1388,1,83,10,2416,132
1569,1,572,9,1143,357
1986,7,588,5,2725,421
1091,10,518,6,914,329
1833,9,341,5,1626,275
1609,7,102,6,2294,158
591,10,697,4,409,393
1172,5,666,11,2665,431
1213,8,528,9,2161,359
1435,2,278,5,231,189
741,9,385,11,1977,271
501,6,843,9,2902,505
724,9,13,10,2586,97
1300,2,147,4,2890,173
1088,3,240,10,839,174
615,8,609,6,894,355
1417,1,538,11,2410,361
1626,10,61,9,2790,154
693,7,655,7,357,368
1689,7,732,11,1357,457
1370,1,334,12,2556,260
589,9,979,5,1951,563
621,8,914,9,1074,512
642,4,740,8,1147,419
1493,10,726,8,370,434
605,5,732,6,1218,417
1386,2,286,11,241,192
927,9,545,11,1001,337
1828,6,495,8,373,321
816,3,525,11,2423,341
1134,7,161,11,564,139
508,9,964,6,1331,540
1273,3,492,5,1419,317
1596,2,268,12,387,193
1882,7,333,5,975,255
722,7,878,12,2092,516
1939,4,177,7,2327,200
1052,9,697,5,1220,421
1893,8,319,4,1314,257
1215,1,812,7,546,454
1787,1,488,12,2932,357
1841,5,65,12,2708,151
1607,6,629,7,2631,426
1841,3,482,12,2996,361
610,9,305,9,821,204
750,10,470,4,2263,321
882,6,333,9,2682,258
506,4,823,12,1451,463
958,7,855,5,506,479
1607,8,150,9,1825,175
707,9,676,5,793,392
1399,6,271,7,594,200
1913,6,794,11,1047,486
1837,8,429,10,122,287
521,5,753,12,1228,426
909,3,250,10,1798,193
1394,3,364,4,657,241
1014,6,858,5,1716,504
1650,2,779,9,1040,463
1308,6,770,10,1345,462
1373,6,598,6,1756,386
513,8,189,12,177,129
1470,7,75,10,1445,124
1477,8,829,9,906,492
1513,9,357,9,1141,264
1535,6,180,4,867,164
586,3,483,8,553,275
1408,10,543,6,2424,381
1824,3,376,10,1547,279
1766,1,116,6,1599,144
621,5,448,8,1150,274
1670,4,844,10,2661,532
1249,9,236,6,1988,212
1879,9,453,5,2611,352
1184,5,451,9,2954,329
808,10,405,11,2971,305
1194,4,737,7,462,420
787,7,590,12,2898,390
806,6,93,11,624,94
1413,4,624,10,1317,388
1161,10,560,10,1585,366
1048,2,22,6,2203,89
1875,1,818,9,1353,493
811,4,834,8,2636,501
1372,4,702,4,1955,438
1582,1,502,6,821,315
1423,6,277,4,2083,233
1254,4,534,7,1307,337
534,1,129,6,1548,112
944,1,979,7,1498,548
592,1,362,12,2188,244
1730,8,66,6,1607,132
852,10,49,9,1103,91
1402,8,895,9,2407,553
1855,2,345,10,2588,283
1361,7,649,12,1025,399
658,8,182,10,955,145
1456,8,556,4,183,340
523,10,268,11,2193,213
903,7,897,8,2587,540
1304,5,526,12,1642,344
1015,1,739,8,1085,422
1231,9,532,8,1968,359
1887,7,903,5,235,525
1905,2,848,6,1306,510
1031,6,126,12,1832,142
1455,2,193,10,1295,169
651,1,915,4,1008,498
1446,7,883,6,2935,556
1107,2,125,5,689,112
919,2,171,4,2051,156
1773,5,588,12,1055,377
1640,5,721,11,2837,476
1365,7,552,8,2686,383
1077,1,596,5,1243,356
834,8,246,4,1431,191
1941,3,848,10,2855,544
1431,4,75,5,1653,120
794,9,79,4,2442,129
1254,4,818,5,1906,491
1894,10,456,10,2200,348
685,5,425,10,905,260
1769,7,541,9,1555,368
1136,4,450,8,151,269
1791,1,747,6,2875,485
1760,9,955,6,171,550
1029,4,473,12,127,277
520,9,930,7,568,509
1410,6,405,12,863,273
1366,1,720,7,2694,456
1293,3,560,5,1524,354
599,2,666,7,2348,401
1251,9,566,9,919,356
977,1,404,9,1589,264
1821,9,335,8,1775,274
1439,9,902,4,659,524
1025,8,928,6,478,519
833,8,100,8,2018,130
501,1,759,9,1175,419
874,8,79,4,178,84
792,10,175,12,1508,161
1336,3,651,6,933,389
1504,7,223,6,1131,192
1052,1,861,5,2172,506
817,1,610,11,549,342
880,10,344,6,2915,275
513,5,773,9,2902,469
1003,5,378,5,2092,269
730,8,870,10,1584,504
1607,7,593,7,2345,404
629,8,686,12,1842,414
1337,6,58,12,2070,122
1668,6,61,10,2584,143
1390,2,298,11,1650,227
527,6,799,6,789,442
565,5,635,8,2090,385
1686,3,248,5,1501,209
1752,6,142,10,686,148
760,8,795,11,2251,480
1972,9,175,12,1929,202
1947,1,383,10,2085,293
959,3,382,11,726,239
800,3,814,12,2131,479
1418,8,487,9,2605,353
1826,1,764,5,463,447
786,5,488,5,2282,322
1918,3,841,7,473,492
1533,2,659,12,2186,422
1129,8,600,10,2087,391
769,3,691,5,2966,432
1091,7,644,11,2194,412
1343,1,697,10,2183,433
1361,6,309,12,2242,251
1884,3,91,11,1484,137
1780,8,96,6,1648,149
632,6,234,4,1269,172
1799,2,25,5,2040,110
1471,6,831,5,467,479
1012,7,367,7,164,230
812,5,172,9,853,136
1075,3,619,7,1643,379
1385,4,677,12,2135,430
1807,4,523,7,2963,382
1644,6,359,9,1976,279
1630,10,918,9,1678,560
1186,1,690,4,855,398
1727,4,473,11,2328,342
664,10,836,6,1624,489
